school_name,address,postal_code,mrt_desc,dgp_code,zone_code,mainlevel_code
STAMFORD PRIMARY SCHOOL,1    VICTORIA LANE,198423,"Bugis MRT Station, Jalan Besar MRT Station",CENTRAL,SOUTH,PRIMARY
FARRER PARK PRIMARY SCHOOL,2    FARRER PARK ROAD,217567,Farrer Park MRT Station,KALLANG,SOUTH,PRIMARY
"SCHOOL OF THE ARTS, SINGAPORE",1    Zubir Said Drive,227968,Dhoby Ghaut,CENTRAL,SOUTH,MIXED LEVELS
ANGLO-CHINESE SCHOOL (JUNIOR),16   WINSTEDT ROAD,227988,Newton MRT Station,CENTRAL,SOUTH,PRIMARY
RIVER VALLEY PRIMARY SCHOOL,2    RIVER VALLEY GREEN,237993,Somerset MRT,CENTRAL,SOUTH,PRIMARY
CRESCENT GIRLS' SCHOOL,357  TANGLIN ROAD,247961,REDHILL MRT,BUKIT MERAH,SOUTH,SECONDARY
ST. MARGARET'S SECONDARY SCHOOL,111  FARRER ROAD,259240,FARRER ROAD MRT,BUKIT TIMAH,SOUTH,SECONDARY
NANYANG PRIMARY SCHOOL,52   KING'S ROAD,268097,Farrer Rd MRT Station,BUKIT TIMAH,WEST,PRIMARY
HWA CHONG INSTITUTION,661  BUKIT TIMAH ROAD,269734,TAN KAH KEE MRT,BUKIT TIMAH,WEST,MIXED LEVELS
HENRY PARK PRIMARY SCHOOL,1    HOLLAND GROVE ROAD,278790,"Buona Vista MRT, Clementi MRT",BUKIT TIMAH,WEST,PRIMARY
NANYANG GIRLS' HIGH SCHOOL,2    LINDEN DRIVE,288683,"SIXTH AVENUE MRT, TAN KAH KEE MRT",BUKIT TIMAH,WEST,SECONDARY
NATIONAL JUNIOR COLLEGE,37   HILLCREST ROAD,288913,"BOTANIC GARDENS MRT, TAN KAH KEE MRT, SIXTH AVENUE MRT",BUKIT TIMAH,SOUTH,MIXED LEVELS
RAFFLES GIRLS' PRIMARY SCHOOL,21   Hillcrest Road,289072,TAN KAH KEE MRT STATION,BUKIT TIMAH,SOUTH,PRIMARY
MARYMOUNT CONVENT SCHOOL,20   Marymount Road,297754,Braddell MRT Station or  Caldecott MRT Station,TOA PAYOH,SOUTH,PRIMARY
CATHOLIC JUNIOR COLLEGE,129  WHITLEY ROAD,297822,"Toa Payoh (NS Line),  Novena (NS Line),  Stevens (DT Line),  Caldecott (CC Line,TE Line)",NOVENA,SOUTH,JUNIOR COLLEGE
ST. JOSEPH'S INSTITUTION,38   MALCOLM ROAD,308274,STEVENS MRT,NOVENA,SOUTH,PRIMARY
ST. JOSEPH'S INSTITUTION JUNIOR,3    ESSEX ROAD,309331,Novena,NOVENA,SOUTH,PRIMARY
SINGAPORE CHINESE GIRLS' PRIMARY SCHOOL,190  DUNEARN ROAD,309437,Stevens,NOVENA,NORTH,PRIMARY
SINGAPORE CHINESE GIRLS' SCHOOL,190  DUNEARN ROAD,309437,STEVENS MRT,NOVENA,NORTH,SECONDARY
ANGLO-CHINESE SCHOOL (PRIMARY),50   BARKER ROAD,309918,Newton MRT Station,NOVENA,SOUTH,PRIMARY
ANGLO-CHINESE SCHOOL (BARKER ROAD),60   BARKER ROAD,309919,"NEWTON MRT, STEVENS MRT",NOVENA,SOUTH,SECONDARY
RAFFLES GIRLS' SCHOOL (SECONDARY),2    BRADDELL RISE,318871,"BRADDELL MRT, CALDECOTT MRT",CENTRAL,SOUTH,SECONDARY
BEATTY SECONDARY SCHOOL,1    TOA PAYOH NORTH,318990,"BRADDELL MRT, TOA PAYOH MRT",TOA PAYOH,SOUTH,SECONDARY
FIRST TOA PAYOH PRIMARY SCHOOL,7    LORONG 8 TOA PAYOH,319252,Braddell & Toa Payoh Stations,TOA PAYOH,SOUTH,PRIMARY
PEI CHUN PUBLIC SCHOOL,16   LORONG 7 TOA PAYOH,319320,Toa Payoh MRT Station and Braddell MRT Station,TOA PAYOH,SOUTH,PRIMARY
KHENG CHENG SCHOOL,15   LORONG 3 TOA PAYOH,319580,Braddell,TOA PAYOH,SOUTH,PRIMARY
CHIJ SECONDARY (TOA PAYOH),626  LORONG 1 TOA PAYOH,319764,TOA PAYOH MRT,TOA PAYOH,SOUTH,SECONDARY
CHIJ PRIMARY (TOA PAYOH),628  Lorong 1 Toa Payoh,319765,Toa Payoh,TOA PAYOH,SOUTH,PRIMARY
HONG WEN SCHOOL,30   TOWNER ROAD,327829,Boon Keng MRT,KALLANG,SOUTH,PRIMARY
NORTHLIGHT SCHOOL,151  Towner Road,327830,BOON KENG (NE9),KALLANG,SOUTH,SECONDARY
BENDEMEER SECONDARY SCHOOL,1    ST WILFRED ROAD,327919,BOON KENG MRT,KALLANG,SOUTH,SECONDARY
BENDEMEER PRIMARY SCHOOL,91   BENDEMEER ROAD,339948,"Boon Keng, Kallang",KALLANG,SOUTH,PRIMARY
CEDAR GIRLS' SECONDARY SCHOOL,1    CEDAR AVENUE,349692,"WOODLEIGH MRT, POTONG PASIR MRT, MATTAR MRT",TOA PAYOH,EAST,SECONDARY
