address,mrt,mrt_dist,num_mrt_1km,mall,mall_dist,num_mall_1km,supermarket,supermarket_dist,num_supermarket_1km,hawker_dist,num_hawker_1km,park_dist,num_park_1km,school,school_dist,num_school_1km,number_school_btw_1km_2km,cityhall_dist
311C ANCHORVALE LANE,TONGKANG LRT STATION,0.2906094367631259,6,Buangkok Square,0.859290568644625,2,540351,0.31090441574672245,7,0.7429742618711683,2,0.8712697732424132,2,544969,0.3536274987758129,4,10,11.465410923001583
28B DOVER CRES,DOVER MRT STATION,0.750114458816272,4,Rochester Mall,0.7320462470967326,2,130028,0.10915359930631809,6,0.9373286617337622,1,0.6896062188061507,7,139648,0.6327019796566489,1,2,7.924890206352821
171 BISHAN ST 13,BISHAN MRT STATION,0.7123426545446386,2,Junction 8,0.6857159792504895,2,570510,0.5038923096143938,6,0.7258806664047549,1,0.9387677054738154,2,579793,0.32328091433565276,4,7,5.934176423798059
61 CHAI CHEE RD,KEMBANGAN MRT STATION,0.9787990980060268,1,Bedok Mall,0.9488681683626954,3,461026,0.3442720318075239,6,0.867495010266432,1,0.28881511973845264,7,458436,0.659976222939047,2,7,8.4245732759807
15 TOH YI DR,BEAUTY WORLD MRT STATION,0.46869137380279113,1,Beauty World Plaza,0.5431956725777456,3,598139,0.2934966145750619,7,0.4394922307719923,1,0.3805137111255904,9,597610,0.48697965293055984,2,2,10.259828525514028
217 BISHAN ST 23,BISHAN MRT STATION,0.6009014386901721,2,Junction 8,0.6949531554025189,2,570279,0.6193162506712951,5,0.8237428295033417,2,0.5686867673031485,4,579767,0.5436247879994348,2,9,7.03805129184091
534 SERANGOON NTH AVE 4,KOVAN MRT STATION,1.9411195977573077,0,Hougang 1,0.569175903979422,1,554913,0.32731006594594325,6,0.9444878455817673,1,0.586853755915149,3,555855,0.15191548269169633,3,4,9.309212315640163
496E TAMPINES AVE 9,TAMPINES EAST MRT STATION,0.7636908746827278,1,Tampines Mall,1.1079413945962109,0,520475,0.3807870279160948,7,1.37374352414834,0,0.3314294892543602,2,529565,0.13524039329579787,2,12,13.225956035710553
920 HOUGANG ST 91,HOUGANG MRT STATION,1.1059905208674627,0,Hougang Green Shopping Mall,0.49585120256029425,3,530682,0.39989297382961914,7,0.19689755536986267,1,0.976946559095854,1,538720,0.21271071878868394,4,9,9.916437897677914
122 GEYLANG EAST CTRL,ALJUNIED MRT STATION,0.2692897003268671,3,Paya Lebar Square,0.8560935704945686,3,380118,0.3697302566615153,12,0.3998267460730362,4,0.5423132367347271,3,389706,0.12566489202786613,3,1,4.5612255612048385
250D COMPASSVALE ST,COMPASSVALE LRT STATION,0.1553059499657346,7,Rivervale Mall,0.5302855982755704,3,540263,0.4563146655881971,5,1.3245179392871174,0,0.4708977482622312,1,545091,0.2598549130781609,6,12,12.280757218919149
5 TG PAGAR PLAZA,TANJONG PAGAR MRT STATION,0.3192514996352712,6,100 AM,0.18041145067569705,3,81005,1.7470641218808752e-06,9,0.04474228315966754,6,0.46269082468519246,5,88256,0.3409329759666093,1,1,2.121790504731867
211 TAMPINES ST 23,TAMPINES EAST MRT STATION,0.24133363117927273,1,Tampines Mall,1.1409492739070866,0,522201,0.21346565023252825,7,1.4674642822239259,0,1.069425454772905,0,529392,0.5302929552163723,6,4,13.275899901065632
936 JURONG WEST ST 91,PIONEER MRT STATION,1.066733279820636,0,Pioneer Mall,0.8983308090237522,1,640962,0.27601658031325554,4,0.9294765102488198,1,0.7004920175994921,1,649036,0.17443241183351216,3,4,18.931883007186933
329 YISHUN RING RD,YISHUN MRT STATION,0.8525882691547074,1,Northpoint City,0.764291658946489,1,760327,0.03544964743022527,12,0.6303238706007624,1,0.4586997466969852,2,768857,0.37000501881741926,4,6,15.201764414101794
520 ANG MO KIO AVE 5,ANG MO KIO MRT STATION,0.42232266793326,1,Jubilee Square,0.4082624838718844,3,560525,0.3278504255608043,6,0.3789173967312542,3,0.3272983726344198,2,569228,0.213576338239814,2,5,8.87499399947543
550B SEGAR RD,SEGAR LRT STATION,0.3142963763990502,4,Greenridge Shopping Centre,0.482268458399843,2,670547,0.2800337429886987,5,0.7407723783621054,1,1.7847149977078707,0,679946,0.12532162822742124,3,5,14.22377136451061
704 YISHUN AVE 5,YISHUN MRT STATION,0.6818899875711915,1,Northpoint City,0.769125079638357,1,760101,0.19730890736964515,7,0.24792567925231354,1,0.35982693905705987,3,768515,0.24242728357851775,3,6,15.266500589315896
672A KLANG LANE,ROCHOR MRT STATION,0.37331408837319985,6,Tekka Centre,0.3344232303433495,7,209610,0.3561332374384015,10,0.3375534418477853,4,0.2564988591533104,5,217567,0.4416708633932726,2,3,1.6974921911018586
261 YISHUN ST 22,YISHUN MRT STATION,0.7625483532831084,1,Northpoint City,0.6958065677988742,1,760293,0.1425639331795967,9,1.198773794165902,0,0.46824628702842125,2,768611,0.2242042176632107,4,4,15.790253009208378
80 BEDOK NTH RD,TANAH MERAH MRT STATION,0.650781641056029,1,Bedok Point,0.8297027361816658,1,461057,0.4803298106265865,5,0.4780065148274464,2,0.6198174050030884,6,469317,0.5896809442428071,4,3,10.605101889624487
451 FAJAR RD,FAJAR LRT STATION,0.16692435799291316,5,Fajar Shopping Centre,0.17801576068156166,2,670446,0.17490273528518294,6,0.8278819798484763,1,1.3121944930376825,0,679944,0.20102071852896175,4,2,13.498693653212017
407 YISHUN AVE 6,YISHUN MRT STATION,1.5163868905690003,0,Wisteria Mall,1.1676464313386026,0,760418,0.15133852047825672,5,0.39302309529118573,1,0.6413639552498053,2,768960,0.1723483569978187,3,6,14.686077347171638
695 JURONG WEST CTRL 1,BOON LAY MRT STATION,0.46186904975352244,1,Jurong Point,0.3535885237974747,2,648886,0.35366513116785986,4,0.6667053392434241,1,0.5049385070585278,1,649930,0.605762570959123,5,5,16.99487234845389
336 UBI AVE 1,UBI MRT STATION,0.5498975254512611,2,Singpost Centre,1.0710289327939189,0,400306,0.4591501565727431,3,0.6548542907066245,1,1.2506983544761587,0,408931,0.3096872376747815,2,3,6.6097925417971375
417 HOUGANG AVE 8,HOUGANG MRT STATION,0.6351696172293276,3,Hougang Mall,0.4545828633677021,2,538766,0.4474501187760737,6,0.7105266652457877,1,0.42541482223043736,2,538787,0.19371219786084531,5,8,10.372498650869858
417 BT BATOK WEST AVE 4,BUKIT GOMBAK MRT STATION,0.7527083559474588,1,West Mall,1.4547968133804055,0,659003,0.36515495031953277,6,0.9980038667939104,1,1.2028126369944043,0,659401,0.3310474146175878,2,4,14.045625852496146
933A HOUGANG AVE 9,HOUGANG MRT STATION,1.251247364785958,0,Hougang 1,0.28498680235002755,3,538692,0.28498680235002755,7,0.11147536928723811,1,0.7815969360840003,3,534238,0.22567191681686682,5,7,9.726019160470665
813 JURONG WEST ST 81,PIONEER MRT STATION,0.9439626746195905,1,Gek Poh Shopping Centre,0.37142522732675914,2,640763,0.41068106177813674,4,0.5508097403929307,1,0.8642341981872829,3,649076,0.32850444305657145,5,4,18.33822246152312
251 PASIR RIS ST 21,PASIR RIS MRT STATION,1.4967267053499784,0,Loyang Point,0.48669386943372095,1,510258,0.4308664894256004,5,1.259297907889456,0,0.8759787234266939,1,518968,0.24849033871560414,3,3,14.954368890593646
37 CAMBRIDGE RD,FARRER PARK MRT STATION,0.7311983349209608,2,Velocity@Novena Square,0.6351962942358661,4,210043,0.16643137629555305,7,0.12409581184627393,3,0.6187035310821356,4,309331,0.4281796895485971,2,6,2.6392920604269166
374 HOUGANG ST 31,KOVAN MRT STATION,0.6092891649627945,2,Heartland Mall,0.6359589229751849,1,530006,0.46239697980006633,6,0.5960664269336864,2,0.4899309027781943,6,538882,0.5405256382800608,2,7,8.782815958062985
61B STRATHMORE AVE,QUEENSTOWN MRT STATION,0.6860910364527772,2,Anchorpoint,0.8848037208071039,1,142057,0.16046963018817192,5,0.864245057903285,3,1.5049968255214103,0,149303,0.5182090625900823,2,4,4.459405971119325
132 SIMEI ST 1,SIMEI MRT STATION,0.4863236338080608,2,Eastpoint Mall,0.5513090447887659,1,520280,0.47939812290458544,6,1.2653283479464654,0,0.4952101090069014,6,529366,0.5214480039217755,5,4,12.994561866777133
327 YISHUN RING RD,YISHUN MRT STATION,0.8255339979104255,1,Northpoint City,0.7378481650360204,1,760327,5.177673251181201e-06,12,0.6168895982846945,1,0.4234074093830053,2,768857,0.35967809153681524,5,5,15.178097389281488
269A QUEEN ST,BUGIS MRT STATION,0.2090512212641126,14,Bugis+,0.15732804329266858,15,188024,0.26388831317839934,12,0.06770096402105169,3,0.6942610908550445,7,198423,0.5071955099968577,1,2,0.8402312771473499
211 YISHUN ST 21,YISHUN MRT STATION,0.4460616678623044,1,Northpoint City,0.3603299571599354,1,760239,0.2563934164953194,10,1.0339335191009287,0,0.47730069936313096,3,768611,0.20010844110551093,6,4,15.401370576670686
